Book ID,Citizen ID,Issue Date,Genre
531844,2045252,01-01-2019,Fantasy
1349376,1979179,01-01-2019,Fantasy
1704978,1978888,01-01-2019,Fantasy
1704978,2086672,01-01-2019,Fantasy
1776638,2318008,01-01-2019,Fantasy
1887019,2303054,01-01-2019,Mystery
1911840,2211371,01-01-2019,Mystery
1914799,1905772,01-01-2019,Mystery
1934273,1879340,01-01-2019,Mystery
1979214,1978888,01-01-2019,Mystery
1985876,2297834,01-01-2019,Mystery
2001509,2086672,01-01-2019,Mystery
2026729,1918534,01-01-2019,Mystery
2042422,264387,01-01-2019,Mystery
2047778,2261165,01-01-2019,Mystery
2073595,2079947,01-01-2019,Science Fiction
2105005,1862710,01-01-2019,Science Fiction
2105391,2070030,01-01-2019,Science Fiction
2117122,2290852,01-01-2019,Science Fiction
2119407,1667512,01-01-2019,Science Fiction
2124947,1943938,01-01-2019,Science Fiction
2185705,2051848,01-01-2019,Science Fiction
2186220,1947470,01-01-2019,Romance
2201662,2005374,01-01-2019,Romance
2213021,2080517,01-01-2019,Romance
2216296,2226688,01-01-2019,Romance
2255019,2315405,01-01-2019,Romance
2263552,2211371,01-01-2019,Dystopia
2263552,2249167,01-01-2019,Dystopia
2278683,2250232,01-01-2019,Dystopia
2282652,1586146,01-01-2019,Dystopia
2283096,2320691,01-01-2019,Dystopia
2289679,1885044,01-01-2019,Dystopia
2289679,1725031,01-01-2019,Dystopia
2309778,1854118,01-01-2019,Dystopia
33483,2079852,02-01-2019,Fantasy
142802,2280385,02-01-2019,Fantasy
1303147,1922815,02-01-2019,Fantasy
1914799,2006318,02-01-2019,Mystery
1954130,2286759,02-01-2019,Mystery
1981357,2186493,02-01-2019,Mystery
2005205,1667512,02-01-2019,Mystery
2008898,2192610,02-01-2019,Mystery
2016970,2080517,02-01-2019,Mystery
2098263,1998869,02-01-2019,Science Fiction
2147527,423824,02-01-2019,Science Fiction
2173414,2320320,02-01-2019,Science Fiction
2186557,2285132,02-01-2019,Romance
2213021,1848148,02-01-2019,Romance
2218813,1862280,02-01-2019,Romance
2222147,1947470,02-01-2019,Romance
2226502,2162102,02-01-2019,Romance
2255157,423824,02-01-2019,Romance
2273460,1938525,02-01-2019,Dystopia
2316334,2152229,02-01-2019,Dystopia
2316334,2234711,02-01-2019,Dystopia
264121,1372237,03-01-2019,Fantasy
398482,2163340,03-01-2019,Fantasy
1049203,2249167,03-01-2019,Fantasy
1251871,1922815,03-01-2019,Fantasy
1321433,2020496,03-01-2019,Fantasy
1396046,1655615,03-01-2019,Fantasy
1704978,1862710,03-01-2019,Fantasy
1786715,2238290,03-01-2019,Fantasy
1886970,1892298,03-01-2019,Mystery
1887019,2072266,03-01-2019,Mystery
1914799,2303058,03-01-2019,Mystery
1914799,2157721,03-01-2019,Mystery
1979214,2006318,03-01-2019,Mystery
1981362,2018935,03-01-2019,Mystery
2001509,2283468,03-01-2019,Mystery
2027620,2192610,03-01-2019,Mystery
2047778,2030977,03-01-2019,Mystery
2076869,2274073,03-01-2019,Science Fiction
2089201,2290864,03-01-2019,Science Fiction
2144350,2279771,03-01-2019,Science Fiction
2144350,1256484,03-01-2019,Science Fiction
2190563,2330762,03-01-2019,Romance
2198504,1787261,03-01-2019,Romance
2201662,1804989,03-01-2019,Romance
2229753,2244491,03-01-2019,Romance
2236854,2006318,03-01-2019,Romance
2240802,1880613,03-01-2019,Romance
2241661,2237251,03-01-2019,Romance
2263552,2206684,03-01-2019,Romance
2282671,2141837,03-01-2019,Dystopia
2282919,2275702,03-01-2019,Dystopia
2293099,2284704,03-01-2019,Dystopia
2315686,2159135,03-01-2019,Dystopia
63384,2104908,04-01-2019,Fantasy
1704978,626607,04-01-2019,Fantasy
1723252,423824,04-01-2019,Fantasy
1865348,2249167,04-01-2019,Mystery
1886970,2141837,04-01-2019,Mystery
1911840,2133121,04-01-2019,Mystery
1963355,2051848,04-01-2019,Mystery
1969153,2203777,04-01-2019,Mystery
1976192,2126565,04-01-2019,Mystery
1996849,2325032,04-01-2019,Mystery
2016970,2045252,04-01-2019,Mystery
2071344,2211371,04-01-2019,Science Fiction
2144350,2249167,04-01-2019,Science Fiction
2188143,2275702,04-01-2019,Romance
2191897,2086672,04-01-2019,Romance
2213021,1372237,04-01-2019,Romance
2218813,1974924,04-01-2019,Romance
2223388,2150833,04-01-2019,Romance
2273460,2274073,04-01-2019,Dystopia
2278082,2245986,04-01-2019,Dystopia
2283094,2313639,04-01-2019,Dystopia
2287792,2061291,04-01-2019,Dystopia
2288511,2176106,04-01-2019,Dystopia
133582,2072683,05-01-2019,Fantasy
1303147,1315875,05-01-2019,Fantasy
1303147,2065215,05-01-2019,Fantasy
1708446,1822989,05-01-2019,Fantasy
1713231,2030977,05-01-2019,Fantasy
1911536,1922815,05-01-2019,Mystery
1911840,1769025,05-01-2019,Mystery
1979214,2244577,05-01-2019,Mystery
1996849,2255143,05-01-2019,Mystery
2047778,2284420,05-01-2019,Mystery
2105005,2176106,05-01-2019,Science Fiction
2130558,264387,05-01-2019,Science Fiction
2143154,1889695,05-01-2019,Science Fiction
2144350,2086672,05-01-2019,Science Fiction
2167167,2191700,05-01-2019,Science Fiction
2171098,1750449,05-01-2019,Science Fiction
2217975,2226552,05-01-2019,Romance
2237886,2237599,05-01-2019,Romance
2255157,1315875,05-01-2019,Romance
2267490,2284420,05-01-2019,Dystopia
2275107,1643883,05-01-2019,Dystopia
2280760,1794377,05-01-2019,Dystopia
2282652,1974924,05-01-2019,Dystopia
2282652,2152229,05-01-2019,Dystopia
2282652,2273461,05-01-2019,Dystopia
2285155,1586247,05-01-2019,Dystopia
2290592,498016,05-01-2019,Dystopia
264121,2072683,06-01-2019,Fantasy
356871,2162102,06-01-2019,Fantasy
379613,1897280,06-01-2019,Fantasy
387302,2318997,06-01-2019,Fantasy
398482,2071172,06-01-2019,Fantasy
1303147,2300099,06-01-2019,Fantasy
1713231,1914381,06-01-2019,Fantasy
1887019,2126565,06-01-2019,Mystery
1981362,2070030,06-01-2019,Mystery
1999154,1944216,06-01-2019,Mystery
2008796,1978888,06-01-2019,Mystery
2016970,2250891,06-01-2019,Mystery
2042425,1381654,06-01-2019,Mystery
2061896,2012965,06-01-2019,Science Fiction
2105391,2030977,06-01-2019,Science Fiction
2119407,2035631,06-01-2019,Science Fiction
2123856,2079245,06-01-2019,Science Fiction
2130558,2012965,06-01-2019,Science Fiction
2130558,2318997,06-01-2019,Science Fiction
2195754,2051848,06-01-2019,Romance
2224879,1256024,06-01-2019,Romance
2226334,2065215,06-01-2019,Romance
2233413,494046,06-01-2019,Romance
2278082,2120196,06-01-2019,Dystopia
2309827,1859387,06-01-2019,Dystopia
142802,2304088,07-01-2019,Fantasy
251351,2032750,07-01-2019,Fantasy
347533,2141837,07-01-2019,Fantasy
533683,2245986,07-01-2019,Fantasy
1285928,2283468,07-01-2019,Fantasy
1651360,1787261,07-01-2019,Fantasy
1651360,1974924,07-01-2019,Fantasy
1651360,2261053,07-01-2019,Fantasy
1723252,1315875,07-01-2019,Fantasy
1863276,2261053,07-01-2019,Mystery
1886970,2188102,07-01-2019,Mystery
1943882,2315405,07-01-2019,Mystery
1993385,1979179,07-01-2019,Mystery
2040242,2237035,07-01-2019,Mystery
2062696,2244491,07-01-2019,Science Fiction
2073595,2298055,07-01-2019,Science Fiction
2084660,1998869,07-01-2019,Science Fiction
2089201,2280889,07-01-2019,Science Fiction
2105391,2203777,07-01-2019,Science Fiction
2111557,2297834,07-01-2019,Science Fiction
2124947,2325032,07-01-2019,Science Fiction
2128580,1974924,07-01-2019,Science Fiction
2153234,1914381,07-01-2019,Science Fiction
2186220,1868416,07-01-2019,Romance
2208059,1315875,07-01-2019,Romance
2240211,608082,07-01-2019,Romance
2241676,1911860,07-01-2019,Romance
2245910,2017103,07-01-2019,Romance
2255019,2302033,07-01-2019,Romance
2261726,2272594,07-01-2019,Romance
2261726,1922815,07-01-2019,Romance
2282652,2276814,07-01-2019,Dystopia
2289679,1643883,07-01-2019,Dystopia
2309778,2118212,07-01-2019,Dystopia
531844,2250891,08-01-2019,Fantasy
629172,2132065,08-01-2019,Fantasy
1303147,1905772,08-01-2019,Fantasy
1713231,2284420,08-01-2019,Fantasy
1880432,2289572,08-01-2019,Mystery
1887019,2024380,08-01-2019,Mystery
1887019,2136230,08-01-2019,Mystery
1911840,1922815,08-01-2019,Mystery
1981357,2006318,08-01-2019,Mystery
1985876,1978888,08-01-2019,Mystery
1993385,2237035,08-01-2019,Mystery
1996849,2067003,08-01-2019,Mystery
2042422,2284579,08-01-2019,Mystery
